player,Position,Team,Team_s,py_fl_per_tou,py_qb_fl
Quintez Cephus,WR,Detroit Lions,DET,0.0027064706092808496,0
Brock Wright,TE,Detroit Lions,DET,0.0027064706092808496,0
Shane Zylstra,TE,Detroit Lions,DET,0.0027064706092808496,0
Marquez Valdes Scantling,WR,Kansas City Chiefs,KC,0.0027064706092808496,0
Noah Gray,TE,Kansas City Chiefs,KC,0.0027064706092808496,0
A J Green,WR,Arizona Cardinals,ARI,0.0027064706092808496,0
DeAndre Hopkins,WR,Arizona Cardinals,ARI,0.0027064706092808496,0
Maxx Williams,TE,Arizona Cardinals,ARI,0.0027064706092808496,0
Stephen Anderson,TE,Arizona Cardinals,ARI,0.0027064706092808496,0
Antoine Wesley,WR,Arizona Cardinals,ARI,0.0027064706092808496,0
DeVante Parker,WR,New England Patriots,NE,0.0027064706092808496,0
Hunter Henry,TE,New England Patriots,NE,0.0027064706092808496,0
Cethan Carter,TE,Miami Dolphins,MIA,0.0027064706092808496,0
Mike Gesicki,TE,Miami Dolphins,MIA,0.0027064706092808496,0
Hunter Long,TE,Miami Dolphins,MIA,0.0027064706092808496,0
Lil Jordan Humphrey,WR,New England Patriots,NE,0.0027064706092808496,0
Adam Shaheen,TE,Miami Dolphins,MIA,0.0027064706092808496,0
Ross Dwelley,TE,San Francisco 49ers,SF,0.0027064706092808496,0
Malik Turner,WR,San Francisco 49ers,SF,0.0027064706092808496,0
Charlie Woerner,TE,San Francisco 49ers,SF,0.0027064706092808496,0
Jauan Jennings,WR,San Francisco 49ers,SF,0.008681779251256155,0
Ryan Griffin,TE,Chicago Bears,CHI,0.008041567611044515,0
James O Shaughnessy,TE,Chicago Bears,CHI,0.0027064706092808496,0
Tajae Sharpe,WR,Chicago Bears,CHI,0.0027064706092808496,0
Byron Pringle,WR,Chicago Bears,CHI,0.013142876006926554,0
Tyler Kroft,TE,San Francisco 49ers,SF,0.0027064706092808496,0
Amari Cooper,WR,Cleveland Browns,CLE,0.004871437508547264,0
Harrison Bryant,TE,Cleveland Browns,CLE,0.0027064706092808496,0
Donovan Peoples Jones,WR,Cleveland Browns,CLE,0.015528340097817001,0
Rashard Higgins,WR,Carolina Panthers,CAR,0.0027064706092808496,0
Brandon Zylstra,WR,Carolina Panthers,CAR,0.0027064706092808496,0
Ian Thomas,TE,Carolina Panthers,CAR,0.0027064706092808496,0
Nick Boyle,TE,Baltimore Ravens,BAL,0.0027064706092808496,0
Josh Oliver,TE,Baltimore Ravens,BAL,0.017644742214219113,0
Rashod Bateman,WR,Baltimore Ravens,BAL,0.0027064706092808496,0
C J Uzomah,TE,New York Jets,NYJ,0.0027064706092808496,0
Corey Davis,WR,New York Jets,NYJ,0.015528340097817001,0
Tyler Conklin,TE,New York Jets,NYJ,0.005115869255238634,0
Trevon Wesco,TE,Chicago Bears,CHI,0.0027064706092808496,0
Kenny Yeboah,TE,New York Jets,NYJ,0.0027064706092808496,0
Demarcus Robinson,WR,Baltimore Ravens,BAL,0.0027064706092808496,0
Kevin Rader,TE,Pittsburgh Steelers,PIT,0.0027064706092808496,0
Zach Gentry,TE,Pittsburgh Steelers,PIT,0.0027064706092808496,0
Pat Freiermuth,TE,Pittsburgh Steelers,PIT,0.00761438398713958,0
Hayden Hurst,TE,Cincinnati Bengals,CIN,0.020206470609280852,0
Drew Sample,TE,Cincinnati Bengals,CIN,0.0027064706092808496,0
Tee Higgins,WR,Cincinnati Bengals,CIN,0.00669824015660595,0
Mitchell Wilcox,TE,Cincinnati Bengals,CIN,0.0027064706092808496,0
Rob Gronkowski,TE,NA,NA,0.0027064706092808496,0
Jared Cook,TE,NA,NA,0.0027064706092808496,0
Jack Doyle,TE,NA,NA,0.0027064706092808496,0
Devonta Freeman,RB,NA,NA,0.0027064706092808496,0
Devontae Booker,RB,NA,NA,0.0027064706092808496,0
Jimmy Graham,TE,NA,NA,0.0027064706092808496,0
Latavius Murray,RB,NA,NA,0.0027064706092808496,0
Emmanuel Sanders,WR,NA,NA,0.0027064706092808496,0
Robby Anderson,WR,NA,NA,0.0027064706092808496,0
Odell Beckham,WR,NA,NA,0.0027064706092808496,0
Blake Jarwin,TE,NA,NA,0.0027064706092808496,0
Kenyan Drake,RB,NA,NA,0.004295648439593429,0
Antonio Brown,WR,NA,NA,0.0027064706092808496,0
Cole Beasley,WR,NA,NA,0.004506262368911965,0
Eric Ebron,TE,NA,NA,0.0027064706092808496,0
Deonte Harris,WR,NA,NA,0.013391361849727645,0
Jordan Howard,RB,NA,NA,0.0027064706092808496,0
Alex Collins,RB,NA,NA,0.005243612270716295,0
Joe Fortson,TE,NA,NA,0.0027064706092808496,0
David Johnson,RB,NA,NA,0.0057002977697746746,0
Lee Smith,TE,NA,NA,0.0027064706092808496,0
Jesse James,TE,NA,NA,0.0027064706092808496,0
Henry Ruggs,WR,NA,NA,0.0027064706092808496,0
Chris Carson,RB,NA,NA,0.00761438398713958,0
Chris Herndon,TE,NA,NA,0.0027064706092808496,0
Peyton Barber,RB,NA,NA,0.00723321958047426,0
Tyree Jackson,TE,NA,NA,0.0027064706092808496,0
DeSean Jackson,WR,NA,NA,0.016314775884252793,0
Carlos Hyde,RB,NA,NA,0.009750769810442796,0
Le Veon Bell,RB,NA,NA,0.0027064706092808496,0
Darren Fells,TE,NA,NA,0.0027064706092808496,0
T Y Hilton,WR,NA,NA,0.0027064706092808496,0
Elijhaa Penny,RB,NA,NA,0.0027064706092808496,0
Garrett Griffin,TE,NA,NA,0.020206470609280852,0
Jamycal Hasty,RB,NA,NA,0.013925606411749983,0
Corey Clement,RB,NA,NA,0.0027064706092808496,0
Dominique Dafney,TE,NA,NA,0.0027064706092808496,0
Adrian Peterson,RB,NA,NA,0.0061804872615920745,0
Kaden Smith,TE,NA,NA,0.0027064706092808496,0
Danny Amendola,WR,NA,NA,0.008681779251256155,0
Malcolm Brown,RB,NA,NA,0.0027064706092808496,0
James White,RB,NA,NA,0.0027064706092808496,0
Derek Carrier,TE,NA,NA,0.0027064706092808496,0
Luke Stocker,TE,NA,NA,0.0027064706092808496,0
Calvin Ridley,WR,NA,NA,0.0027064706092808496,0
Demetrius Harris,TE,NA,NA,0.0027064706092808496,0
Adam Humphries,WR,NA,NA,0.0027064706092808496,0
Ethan Wolf,TE,NA,NA,0.0027064706092808496,0
Wayne Gallman,RB,NA,NA,0.0027064706092808496,0
Jalen Richard,RB,NA,NA,0.0027064706092808496,0
Darrell Daniels,TE,NA,NA,0.0027064706092808496,0
Jason Cabinda,RB,NA,NA,0.0027064706092808496,0
Andy Janovich,RB,NA,NA,0.0027064706092808496,0
John Ross,WR,NA,NA,0.014197448766925668,0
Jakeem Grant,WR,NA,NA,0.020206470609280852,0
Alex Armah,RB,NA,NA,0.0027064706092808496,0
Isaiah Ford,WR,NA,NA,0.0027064706092808496,0
Johnny Stanton,RB,NA,NA,0.0027064706092808496,0
Tavon Austin,WR,NA,NA,0.013398710468187374,0
Ito Smith,RB,NA,NA,0.0027064706092808496,0
D J Chark,WR,NA,NA,0.0027064706092808496,0
Rodney Smith,RB,NA,NA,0.0027064706092808496,0
Wendell Smallwood,RB,NA,NA,0.0027064706092808496,0
Kalen Ballage,RB,NA,NA,0.0027064706092808496,0
Albert Wilson,WR,NA,NA,0.0027064706092808496,0
Kylin Hill,RB,NA,NA,0.0027064706092808496,0
